,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,index
std,2.383763573938289,0.0,0.3402655314502653,0.04043896787340014,0.1592032672538436,0.08288996213759449,0.0,0.0,2.4824740136709718,2.4824551487756374,0.0,25.750212891495476,0.0,5.763077126185548,0.0,0.1609679429772495,0.0,14.831625055877357,0.0,0.2673722123522208,4.4370426292415255,0.048734681273303375,4681.492420536948,4681.492420536948,273.4315374835134,273.4315374835134,0.0,0.0,0.0,0.0,174921.2655691211,86202.41929898864,0.0,5475.698389605594,0.0,0.025610799144029785,0.6799439363567313,0.0998526273199081,0.0,0.0,0.0,0.025610799144029785,0.0,0.0,5944.370666858229,16024.822035115274,10149.303617986641,0.0,2.573342689967132,6.543574491368266,10.551946744537338,10220.161313236922,6.358852798881783,4.925104261392437,3.030996094342259,3.4983162647483685,0.0,distributed databases
min,71.99,0.0,1.35,0.0,1.9,0.0,0.0,0.0,76.99,77.0,0.0,154.0,0.0,31.99,0.0,0.0,0.0,152.27,0.0,1.13,24.7,0.16,40767.54,40767.54,2217.0,2217.0,0.0,0.0,0.0,31380316.0,19032816.0,22824340.0,16379900.0,20.0,0.0,0.98,29.787,3.661,-1.0,-1.0,1.0,0.98,0.0,0.0,34127.0,54651.0,16750.0,0.0,77.0,2.0,0.0,16731.0,1.0,1497.0,6.44,4.2,0.0,distributed databases
25%,78.53,0.0,1.85,0.0,2.15,0.1375,0.0,0.0,82.975,82.9775,0.0,218.0,0.0,41.1725,0.0,0.0,0.0,187.66750000000002,0.0,1.26,33.5,0.22,52934.604999999996,52934.604999999996,2784.0,2784.0,0.0,0.0,0.0,31380316.0,19463108.0,23030926.0,16379900.0,780.0,0.0,1.027,31.0925,3.8834999999999997,-1.0,-1.0,1.0,1.027,0.0,0.0,42117.0,80062.5,23689.75,0.0,83.0,15.0,0.0,23722.75,15.0,1503.0,15.5,9.4225,0.0,distributed databases
50%,80.205,0.0,2.1,0.0,2.24,0.2,0.0,0.0,84.67,84.67500000000001,0.0,234.0,0.0,44.225,0.0,0.0,0.0,195.355,0.0,1.29,36.0,0.24,55516.505000000005,55516.505000000005,2954.5,2954.5,0.0,0.0,0.0,31380316.0,19613248.0,23091086.0,16379900.0,1788.0,0.0,1.047,31.490499999999997,3.9505,-1.0,-1.0,1.0,1.047,0.0,0.0,45154.5,90031.5,31060.5,0.0,85.0,20.0,4.0,30975.5,20.0,1506.0,18.37,13.16,0.0,distributed databases
75%,81.67999999999999,0.0,2.31,0.05,2.35,0.25,0.0,0.0,86.2325,86.24249999999999,0.0,249.0,0.0,47.065,0.0,0.0,0.0,204.5,0.0,1.34,39.0,0.26,59399.7,59399.7,3156.25,3156.25,0.0,0.0,0.0,31380316.0,19725284.0,23156504.0,16379900.0,6521.0,0.0,1.064,31.99525,4.0085,-1.0,-1.0,1.0,1.064,0.0,0.0,48766.0,101713.75,39921.0,0.0,86.0,24.0,21.0,39859.53,24.0,1509.0,19.35,15.21,0.0,distributed databases
max,85.58,0.0,3.16,0.2,2.66,0.4,0.0,0.0,90.85,90.86,0.0,306.0,0.0,68.73,0.0,1.03,0.0,257.81,0.0,2.66,51.8,0.52,67776.71,67776.71,3753.0,3753.0,0.0,0.0,0.0,31380316.0,19941632.0,23295144.0,16379900.0,25016.0,0.0,1.106,33.496,4.191,-1.0,-1.0,1.0,1.106,0.0,0.0,72892.0,136822.0,62514.0,0.0,91.0,33.0,32.0,62617.0,35.0,1520.0,20.48,15.94,0.0,distributed databases
count,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,fileio stress
mean,0.7747692307692304,0.0003076923076923077,0.44283076923076936,4.3455692307692235,3.817230769230766,0.15815384615384623,0.0,0.0,5.1932923076923085,5.187969230769231,0.0,1690.5278769230772,0.0,9.749261538461537,0.0,0.004461538461538464,0.0,5.503569230769226,0.0,0.6016307692307696,99.90975384615378,0.4408307692307686,0.8682153846153855,0.7497230769230758,4.135384615384615,4.587692307692308,0.008615384615384617,0.0,0.0,31380316.0,8256446.707692307,22396532.27076923,16379900.0,999.9753846153847,0.0,1.3537292307692301,26.439667692307708,2.5841476923076896,-1.0,-1.0,1.0,1.3537292307692301,0.9015384615384615,0.0,9822.683076923076,39521.79692307692,23869.44,0.0,5.172307692307692,0.9292307692307692,0.5384000000000001,23839.578892307687,0.8215384615384616,1653.6,1.3285846153846168,0.97833846153846,0.0,fileio stress
std,0.49220939189544677,0.003916265057908955,0.15731147537576617,0.08035453255532168,0.10677812019120286,0.08052475096247637,0.0,0.0,0.5880449330662101,0.5827045809670298,0.0,68.6732876849965,0.0,34.85982438629191,0.0,0.017815131696928752,0.0,16.814372880646513,0.0,0.21187606798818712,0.8073657445012844,0.4445585814981701,1.7309695107925633,1.6213278309529513,3.8289197929216003,4.0310334616858245,0.0185323310311276,0.0,0.0,0.0,228386.711913631,225354.8267411448,0.0,511.92273663229844,0.0,0.08138329848657279,3.280884106283,0.8361962874864235,0.0,0.0,0.0,0.08138329848657279,0.29839711075595504,0.0,34098.25308649236,1069.9871387783112,3728.7160775080047,0.0,0.7251027369327158,1.0234477974533258,1.2726357503568775,3732.3865912726305,1.0652322976952902,7.621444728730019,0.31934321547318956,0.3467872954710065,0.0,fileio stress
min,0.35,0.0,0.15,3.61,3.35,0.0,0.0,0.0,4.37,4.38,0.0,1482.0,0.0,5.63,0.0,0.0,0.0,3.61,0.0,0.55,90.9,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380316.0,7869552.0,22010456.0,16379900.0,0.0,0.0,1.128,19.72,1.52,-1.0,-1.0,1.0,1.128,0.0,0.0,5769.0,36512.0,20039.0,0.0,4.0,0.0,0.0,19874.26,0.0,1638.0,0.68,0.33,0.0,fileio stress
25%,0.5,0.0,0.35,4.32,3.75,0.1,0.0,0.0,4.9,4.88,0.0,1685.0,0.0,6.37,0.0,0.0,0.0,3.86,0.0,0.57,99.9,0.39,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380316.0,7938784.0,22079752.0,16379900.0,584.0,0.0,1.304,24.024,2.021,-1.0,-1.0,1.0,1.304,1.0,0.0,6519.0,38861.0,22224.0,0.0,5.0,0.0,0.0,22215.0,0.0,1646.0,1.13,0.68,0.0,fileio stress
50%,0.6,0.0,0.45,4.35,3.81,0.15,0.0,0.0,5.05,5.04,0.0,1701.0,0.0,6.43,0.0,0.0,0.0,3.87,0.0,0.58,100.0,0.39,0.17,0.25,3.0,3.0,0.0,0.0,0.0,31380316.0,8297448.0,22441672.0,16379900.0,976.0,0.0,1.361,26.07,2.293,-1.0,-1.0,1.0,1.361,1.0,0.0,6585.0,39446.0,22823.0,0.0,5.0,1.0,0.0,22768.0,0.0,1657.0,1.35,0.92,0.0,fileio stress
75%,0.85,0.0,0.5,4.37,3.9,0.2,0.0,0.0,5.3,5.3,0.0,1718.0,0.0,6.51,0.0,0.0,0.0,3.89,0.0,0.58,100.1,0.4,0.36,0.4,5.0,6.0,0.0,0.0,0.0,31380316.0,8472652.0,22614604.0,16379900.0,1352.0,0.0,1.407,28.116,3.055,-1.0,-1.0,1.0,1.407,1.0,0.0,6665.0,40205.0,24094.0,0.0,5.0,1.0,1.0,24083.0,1.0,1658.0,1.45,1.26,0.0,fileio stress
max,4.12,0.05,1.51,4.51,4.06,0.4,0.0,0.0,9.23,9.05,0.0,2163.0,0.0,413.15,0.0,0.12,0.0,195.59,0.0,2.94,100.4,5.49,7.99,8.71,21.0,21.0,0.07,0.0,0.0,31380316.0,8924144.0,22702828.0,16379900.0,2476.0,0.0,1.803,44.435,5.685,-1.0,-1.0,1.0,1.803,1.0,0.0,414905.0,43677.0,57379.0,0.0,9.0,5.0,13.0,57304.0,5.0,1666.0,2.04,1.4,0.0,fileio stress
count,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,memory stress
mean,9.875769230769231,0.0,0.7650769230769239,0.009038461538461537,3.032076923076923,0.14999999999999997,0.0,0.0,13.822923076923088,14.386576923076909,0.0,2.8692307692307693,0.0,0.021846153846153835,0.0,0.0,0.0,1.3898461538461542,0.0,0.6808461538461539,0.4596153846153846,0.003923076923076925,0.7374615384615392,0.3698076923076923,3.5614230769230772,3.446038461538462,0.0056153846153846184,0.0,0.0,31380316.0,12250435.138461538,15877041.153846154,16379900.0,95.78461538461538,0.0,2.292357692307692,69.72127307692301,14.502265384615407,-1.0,-1.0,1.0,2.292357692307692,0.0,0.0,22.41923076923077,38417.13846153846,4677.280769230769,0.0,13.492307692307692,2.9923076923076923,1.2923076923076924,4660.886807692308,2.9076923076923076,1677.376923076923,1.3061538461538484,0.7928076923076922,0.0,memory stress
std,1.1221125040014803,0.0,1.1455168590504792,0.019772803695069837,0.12066864008896715,0.07810496847439408,0.0,0.0,0.2657209793140893,0.5474378844245594,0.0,7.906195665927464,0.0,0.06960766628200664,0.0,0.0,0.0,3.3657034661122194,0.0,1.69617627417493,0.9862881578242366,0.008609607083098162,1.607787665122847,0.7694597472534234,3.2239750838910584,2.9879253915104926,0.01403271666204147,0.0,0.0,0.0,3755050.366831741,3740343.9716953975,0.0,116.72791083457784,0.0,1.6373114247686829,13.65700885463735,12.492141761999259,0.0,0.0,0.0,1.6373114247686829,0.0,0.0,70.92965964366823,598.8120705298915,1440.0383742525291,0.0,0.5085546761439314,0.8609607083098152,2.35447869889917,1442.5027523292335,0.9898804876667578,24.545683634614537,0.3654095594318054,0.11905111300684046,0.0,memory stress
min,6.37,0.0,0.0,0.0,2.45,0.0,0.0,0.0,13.19,13.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380316.0,9003724.0,12639436.0,16379900.0,0.0,0.0,0.051,29.803,0.564,-1.0,-1.0,1.0,0.051,0.0,0.0,0.0,36748.0,1968.0,0.0,13.0,2.0,0.0,1973.0,2.0,1632.0,0.45,0.54,0.0,memory stress
25%,9.83,0.0,0.15,0.0,2.96,0.1,0.0,0.0,13.64,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,2.0,1.0,0.0,0.0,0.0,31380316.0,10050288.0,13686016.0,16379900.0,20.0,0.0,0.857,59.703,4.168,-1.0,-1.0,1.0,0.857,0.0,0.0,0.0,37942.0,4293.0,0.0,13.0,2.0,0.0,4282.0,2.0,1642.75,1.1,0.71,0.0,memory stress
50%,10.295,0.0,0.25,0.0,3.05,0.15,0.0,0.0,13.81,14.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.19,3.0,3.0,0.0,0.0,0.0,31380316.0,10074024.0,13709740.0,16379900.0,44.0,0.0,2.513,73.893,8.056,-1.0,-1.0,1.0,2.513,0.0,0.0,0.0,38469.0,4837.0,0.0,13.0,3.0,0.0,4811.0,3.0,1691.0,1.36,0.79,0.0,memory stress
75%,10.52,0.0,0.6125,0.0,3.1,0.2,0.0,0.0,13.97,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.32,4.0,4.0,0.0,0.0,0.0,31380316.0,17537821.0,21138609.0,16379900.0,128.0,0.0,3.68125,80.78049999999999,29.011499999999998,-1.0,-1.0,1.0,3.68125,0.0,0.0,0.0,38828.0,5239.0,0.0,14.0,3.0,1.0,5233.0,3.0,1693.0,1.61,0.8825000000000001,0.0,memory stress
max,10.98,0.0,4.21,0.1,3.25,0.35,0.0,0.0,14.44,15.9,0.0,38.0,0.0,0.36,0.0,0.0,0.0,30.5,0.0,9.0,4.0,0.03,7.82,8.18,19.0,16.0,0.07,0.0,0.0,31380316.0,18646380.0,22247464.0,16379900.0,496.0,0.0,5.277,91.155,46.244,-1.0,-1.0,1.0,5.277,0.0,0.0,369.0,39695.0,10695.0,0.0,15.0,5.0,7.0,10667.0,6.0,1698.0,1.82,1.02,0.0,memory stress
count,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,net stress
mean,0.6892361111111112,0.0,0.3045833333333334,0.008159722222222224,3.351666666666667,0.2302430555555554,0.0,0.0,4.575729166666669,4.571250000000003,0.0,2.829861111111111,0.0,0.02805555555555555,0.0,0.17041666666666666,0.0,1.9037847222222222,0.0,0.6489583333333333,0.46041666666666664,0.004756944444444447,419958.87482638884,419958.87482638884,14909.888333333332,14909.888333333332,0.0,0.0,0.0,31380316.0,18515989.013888888,22151213.291666668,16379900.0,113.48611111111111,0.0,0.793006944444445,17.31367708333333,4.558211805555555,-1.0,-1.0,1.0,0.793006944444445,0.0,0.0,28.947916666666668,39257.12152777778,14203.069444444445,0.0,4.8125,0.8715277777777778,9.475694444444445,14180.65625,0.8819444444444444,1691.638888888889,0.49590277777777764,0.6944097222222216,0.0,net stress
std,0.3777184023105801,0.0,0.11780734878848353,0.020304704384246305,0.1428017314137805,0.1282783746974574,0.0,0.0,0.5069662685759945,0.5061198643337077,0.0,7.424571502891515,0.0,0.08770220262533251,0.0,1.1123258584295415,0.0,4.940526701968807,0.0,1.407342229725215,0.996070240166299,0.01062227396652429,489320.596001425,489320.596001425,17134.329549453858,17134.329549453858,0.0,0.0,0.0,0.0,35589.374892126856,35406.15591899141,0.0,163.73059312022235,0.0,0.09117811924446881,5.469129457945359,1.1587009488129387,0.0,0.0,0.0,0.09117811924446881,0.0,0.0,90.10830144152067,873.5890141636079,8379.41132095525,0.0,0.5405990998508802,0.9412100740041467,9.97799492840762,8379.798224011867,1.0359161830796162,3.233343510885944,0.14094955825170627,0.08632447605675399,0.0,net stress
min,0.3,0.0,0.1,0.0,2.78,0.0,0.0,0.0,3.87,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121015.14,121015.14,3851.0,3851.0,0.0,0.0,0.0,31380316.0,18408428.0,22044144.0,16379900.0,0.0,0.0,0.643,4.034,1.34,-1.0,-1.0,1.0,0.643,0.0,0.0,0.0,37732.0,7865.0,0.0,4.0,0.0,0.0,7823.0,0.0,1687.0,0.27,0.53,0.0,net stress
25%,0.45,0.0,0.25,0.0,3.26,0.15,0.0,0.0,4.26,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122279.70250000001,122279.70250000001,4507.75,4507.75,0.0,0.0,0.0,31380316.0,18502223.0,22137565.0,16379900.0,16.0,0.0,0.728,14.77,3.8575,-1.0,-1.0,1.0,0.728,0.0,0.0,0.0,38614.0,9030.0,0.0,4.75,0.0,0.0,9009.25,0.0,1689.0,0.39,0.64,0.0,net stress
50%,0.555,0.0,0.3,0.0,3.35,0.2,0.0,0.0,4.45,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122347.465,122347.465,4706.0,4706.0,0.0,0.0,0.0,31380316.0,18519384.0,22154522.0,16379900.0,40.0,0.0,0.766,17.2805,4.551,-1.0,-1.0,1.0,0.766,0.0,0.0,0.0,39196.5,9712.0,0.0,5.0,1.0,6.0,9710.5,1.0,1691.0,0.485,0.71,0.0,net stress
75%,0.71,0.0,0.35,0.0,3.4125,0.3,0.0,0.0,4.66,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222469.2799999998,1222469.2799999998,36368.0,36368.0,0.0,0.0,0.0,31380316.0,18548495.0,22183569.0,16379900.0,144.0,0.0,0.8412499999999999,20.797250000000002,5.36225,-1.0,-1.0,1.0,0.8412499999999999,0.0,0.0,0.0,39727.75,15802.25,0.0,5.0,1.0,21.0,15807.0,1.0,1694.0,0.59,0.76,0.0,net stress
max,2.75,0.0,0.76,0.1,3.85,0.65,0.0,0.0,6.93,6.92,0.0,41.0,0.0,0.46,0.0,7.69,0.0,32.67,0.0,5.0,4.3,0.05,1224121.05,1224121.05,47447.0,47447.0,0.0,0.0,0.0,31380316.0,18557332.0,22192352.0,16379900.0,848.0,0.0,1.171,28.065,6.67,-1.0,-1.0,1.0,1.171,0.0,0.0,475.0,42764.0,43040.0,0.0,7.0,5.0,28.0,43031.0,5.0,1699.0,0.84,0.84,0.0,net stress
